task,worker,label
t27,AI_-sigma_15,4
t542,AI_-sigma_15,4
t544,AI_-sigma_15,2
t569,AI_-sigma_15,0
t225,AI_-sigma_15,4
t655,AI_-sigma_15,4
t827,AI_-sigma_15,3
t1040,AI_-sigma_15,2
t20,AI_-sigma_15,1
t699,AI_-sigma_15,2
t812,AI_-sigma_15,2
t681,AI_-sigma_15,3
t360,AI_-sigma_15,2
t328,AI_-sigma_15,2
t908,AI_-sigma_15,2
t732,AI_-sigma_15,3
t97,AI_-sigma_15,3
t860,AI_-sigma_15,2
t817,AI_-sigma_15,2
t821,AI_-sigma_15,4
t822,AI_-sigma_15,4
t43,AI_-sigma_15,2
t284,AI_-sigma_15,2
t381,AI_-sigma_15,2
t21,AI_-sigma_15,4
t541,AI_-sigma_15,3
t995,AI_-sigma_15,3
t380,AI_-sigma_15,3
t750,AI_-sigma_15,2
t180,AI_-sigma_15,4
t322,AI_-sigma_15,2
t98,AI_-sigma_15,1
t395,AI_-sigma_15,4
t100,AI_-sigma_15,2
t1039,AI_-sigma_15,4
t1042,AI_-sigma_15,3
t685,AI_-sigma_15,2
t62,AI_-sigma_15,1
t309,AI_-sigma_15,4
t640,AI_-sigma_15,2
t509,AI_-sigma_15,3
t425,AI_-sigma_15,2
t776,AI_-sigma_15,2
t238,AI_-sigma_15,2
t730,AI_-sigma_15,2
t419,AI_-sigma_15,2
t131,AI_-sigma_15,2
t579,AI_-sigma_15,2
t171,AI_-sigma_15,0
t524,AI_-sigma_15,2
t713,AI_-sigma_15,2
t696,AI_-sigma_15,1
t4,AI_-sigma_15,2
t584,AI_-sigma_15,2
t353,AI_-sigma_15,4
t890,AI_-sigma_15,2
t482,AI_-sigma_15,4
t248,AI_-sigma_15,4
t25,AI_-sigma_15,2
t494,AI_-sigma_15,2
t839,AI_-sigma_15,2
t969,AI_-sigma_15,1
t29,AI_-sigma_15,2
t806,AI_-sigma_15,4
t978,AI_-sigma_15,2
t119,AI_-sigma_15,4
t796,AI_-sigma_15,2
t606,AI_-sigma_15,4
t314,AI_-sigma_15,1
t782,AI_-sigma_15,2
t69,AI_-sigma_15,1
t199,AI_-sigma_15,4
t427,AI_-sigma_15,2
t173,AI_-sigma_15,0
t941,AI_-sigma_15,3
t489,AI_-sigma_15,4
t804,AI_-sigma_15,3
t183,AI_-sigma_15,0
t945,AI_-sigma_15,2
t107,AI_-sigma_15,4
t834,AI_-sigma_15,4
t891,AI_-sigma_15,2
t430,AI_-sigma_15,2
t835,AI_-sigma_15,2
t555,AI_-sigma_15,4
t181,AI_-sigma_15,3
t12,AI_-sigma_15,0
t999,AI_-sigma_15,2
t926,AI_-sigma_15,4
t281,AI_-sigma_15,4
t706,AI_-sigma_15,2
t986,AI_-sigma_15,1
t102,AI_-sigma_15,4
t918,AI_-sigma_15,2
t456,AI_-sigma_15,1
t886,AI_-sigma_15,1
t125,AI_-sigma_15,2
t370,AI_-sigma_15,2
t446,AI_-sigma_15,4
t86,AI_-sigma_15,2
t277,AI_-sigma_15,4
t481,AI_-sigma_15,4
t346,AI_-sigma_15,2
t58,AI_-sigma_15,0
t63,AI_-sigma_15,2
t120,AI_-sigma_15,3
t196,AI_-sigma_15,1
t892,AI_-sigma_15,4
t1049,AI_-sigma_15,4
t214,AI_-sigma_15,3
